Input CV,note number,pitch,adc code,period reg,castor calibrated dac code,pollux calibrated dac code,output frequency,frequency delta,output voltage,charge voltage,,,TCC GCLK,TCC DIV
0.00,12,16.35,4096,61155,40,40,16.35,0.00,3.28,0.032,,,"8,000,000",8
0.08,13,17.32,4039,57723,40,40,17.32,0.00,3.28,0.032,,,,
0.17,14,18.35,3982,54483,40,40,18.35,0.00,3.28,0.032,,,,
0.25,15,19.45,3925,51425,40,40,19.45,0.00,3.28,0.032,,,,
0.33,16,20.60,3868,48539,42,42,20.60,0.00,3.28,0.034,,,,
0.42,17,21.83,3812,45814,44,44,21.83,0.00,3.28,0.035,,,,
0.50,18,23.12,3755,43243,46,46,23.12,0.00,3.28,0.037,,,,
0.58,19,24.50,3698,40816,48,48,24.50,0.00,3.28,0.039,,,,
0.67,20,25.96,3641,38525,50,50,25.96,0.00,3.28,0.04,,,,
0.75,21,27.50,3584,36363,53,53,27.50,0.00,3.28,0.043,,,,
0.83,22,29.14,3527,34322,56,56,29.13,0.00,3.28,0.045,,,,
0.92,23,30.87,3470,32395,60,60,30.87,0.00,3.28,0.048,,,,
1.00,24,32.70,3413,30577,62,62,32.70,0.00,3.28,0.05,,,,
1.08,25,34.65,3356,28861,65,65,34.65,0.00,3.28,0.052,,,,
1.17,26,36.71,3300,27241,69,69,36.71,0.00,3.28,0.056,,,,
1.25,27,38.89,3243,25712,73,73,38.89,0.00,3.28,0.059,,,,
1.33,28,41.20,3186,24269,77,77,41.20,0.00,3.28,0.062,,,,
1.42,29,43.65,3129,22907,82,82,43.65,0.00,3.28,0.066,,,,
1.50,30,46.25,3072,21621,87,87,46.25,0.00,3.28,0.07,,,,
1.58,31,49.00,3015,20407,91,91,49.00,0.00,3.28,0.073,,,,
1.67,32,51.91,2958,19262,96,96,51.91,0.00,3.28,0.077,,,,
1.75,33,55.00,2901,18181,103,103,55.00,0.00,3.28,0.083,,,,
1.83,34,58.27,2844,17160,108,108,58.27,0.00,3.28,0.087,,,,
1.92,35,61.74,2788,16197,115,115,61.74,0.00,3.28,0.093,,,,
2.00,36,65.41,2731,15288,122,122,65.41,0.00,3.28,0.098,,,,
2.08,37,69.30,2674,14430,129,129,69.30,0.00,3.28,0.104,,,,
2.17,38,73.42,2617,13620,137,137,73.42,0.00,3.28,0.11,,,,
2.25,39,77.78,2560,12855,146,146,77.78,0.00,3.28,0.118,,,,
