Input CV,note number,pitch,adc code,period reg,castor calibrated dac code,pollux calibrated dac code,output frequency,frequency delta,output voltage,charge voltage,,,TCC GCLK,TCC DIV
0.000000,12,16.35,4096,489248,40,40,16.35,0.00,3.28,0.032,,,"8,000,000",1
0.083333,13,17.32,4039,461788,40,40,17.32,0.00,3.28,0.032,,,,
0.166667,14,18.35,3982,435870,40,40,18.35,0.00,3.28,0.032,,,,
0.250000,15,19.45,3925,411407,40,40,19.45,0.00,3.28,0.032,,,,
0.333333,16,20.60,3868,388316,42,42,20.60,0.00,3.28,0.034,,,,
0.416667,17,21.83,3812,366521,44,44,21.83,0.00,3.28,0.035,,,,
0.500000,18,23.12,3755,345950,46,46,23.12,0.00,3.28,0.037,,,,
0.583333,19,24.50,3698,326533,48,48,24.50,0.00,3.28,0.039,,,,
0.666666,20,25.96,3641,308206,50,50,25.96,0.00,3.28,0.04,,,,
0.750000,21,27.50,3584,290908,53,53,27.50,0.00,3.28,0.043,,,,
0.833333,22,29.14,3527,274581,56,56,29.14,0.00,3.28,0.045,,,,
0.916666,23,30.87,3470,259170,60,60,30.87,0.00,3.28,0.048,,,,
1.000000,24,32.70,3413,244623,62,62,32.70,0.00,3.28,0.05,,,,
1.083333,25,34.65,3356,230894,65,65,34.65,0.00,3.28,0.052,,,,
1.166666,26,36.71,3300,217935,69,69,36.71,0.00,3.28,0.056,,,,
1.250000,27,38.89,3243,205703,73,73,38.89,0.00,3.28,0.059,,,,
1.333333,28,41.20,3186,194158,77,77,41.20,0.00,3.28,0.062,,,,
1.416666,29,43.65,3129,183260,82,82,43.65,0.00,3.28,0.066,,,,
1.499999,30,46.25,3072,172975,87,87,46.25,0.00,3.28,0.07,,,,
1.583333,31,49.00,3015,163266,91,91,49.00,0.00,3.28,0.073,,,,
1.666666,32,51.91,2958,154103,96,96,51.91,0.00,3.28,0.077,,,,
1.749999,33,55.00,2901,145454,103,103,55.00,0.00,3.28,0.083,,,,
1.833333,34,58.27,2844,137290,108,108,58.27,0.00,3.28,0.087,,,,
1.916666,35,61.74,2788,129584,115,115,61.74,0.00,3.28,0.093,,,,
1.999999,36,65.41,2731,122311,122,122,65.41,0.00,3.28,0.098,,,,
2.083333,37,69.30,2674,115446,129,129,69.30,0.00,3.28,0.104,,,,
